make,model,car,variant,body_type,fuel_type,fuel_system,type,drivetrain,displacement,cylinders,mileage,power,torque,fuel_tank,height,length,width,doors,seats,wheelbase,airbags,keyless_entry,start/stop,12Vpower,Aux,enginemalf_alarm,immobiliser,highspeed_alert,odometer,speedometer,tripmeter,price,cluster
Mahindra,Bolero,Mahindra Bolero,Ex,SUV,Diesel,Injection,Manual,FWD (Front Wheel Drive),2523,4,15.96,62.14,195,60.0,1910.0,4221.0,1745.0,5,7,2794.0,0,0,0,0,0,1,1,0.0,Digital,Yes,1,11422,2
Mahindra,Bolero,Mahindra Bolero,Ex Non Ac,SUV,Diesel,Injection,Manual,FWD (Front Wheel Drive),2523,4,15.96,62.14,195,60.0,1910.0,4221.0,1745.0,5,7,2794.0,0,0,0,0,0,1,1,0.0,Digital,Yes,1,10831,2
Maruti Suzuki,Ciaz,Maruti Suzuki Ciaz,1.3L Alpha Smart Hybrid,Sedan,Diesel,Injection,Manual,FWD (Front Wheel Drive),1248,4,28.09,87.78,200,43.0,1485.0,4490.0,1730.0,4,5,2650.0,2,1,1,1,1,1,1,0.0,Digital,Analog,1,15437,2
Maruti Suzuki,Ciaz,Maruti Suzuki Ciaz,1.3L Sigma Smart Hybrid,Sedan,Diesel,Injection,Manual,FWD (Front Wheel Drive),1248,4,28.09,87.78,200,43.0,1485.0,4490.0,1730.0,4,5,2650.0,2,1,0,1,1,1,1,0.0,Digital,Analog,1,12875,2
Maruti Suzuki,Ciaz,Maruti Suzuki Ciaz,1.3L Delta Smart Hybrid,Sedan,Diesel,Injection,Manual,FWD (Front Wheel Drive),1248,4,28.09,87.78,200,43.0,1485.0,4490.0,1730.0,4,5,2650.0,2,1,0,1,1,1,1,0.0,Digital,Analog,1,13729,2
Maruti Suzuki,Ciaz,Maruti Suzuki Ciaz,1.3L Zeta Smart Hybrid,Sedan,Diesel,Injection,Manual,FWD (Front Wheel Drive),1248,4,28.09,87.78,200,43.0,1485.0,4490.0,1730.0,4,5,2650.0,2,1,1,1,1,1,1,0.0,Digital,Analog,1,14877,2
Maruti Suzuki,Ciaz,Maruti Suzuki Ciaz,1.5L Sigma Smart Hybrid,Sedan,Petrol,Injection,Manual,FWD (Front Wheel Drive),1462,4,21.56,101.59,138,43.0,1485.0,4490.0,1730.0,4,5,2650.0,2,1,0,1,1,1,1,0.0,Digital,Analog,1,11475,2
Maruti Suzuki,Ciaz,Maruti Suzuki Ciaz,1.5L Delta Smart Hybrid,Sedan,Petrol,Injection,Manual,FWD (Front Wheel Drive),1462,4,21.56,101.59,138,43.0,1485.0,4490.0,1730.0,4,5,2650.0,2,1,0,1,1,1,1,0.0,Digital,Analog,1,12343,2
Maruti Suzuki,Ciaz,Maruti Suzuki Ciaz,1.5L Zeta Smart Hybrid,Sedan,Petrol,Injection,Manual,FWD (Front Wheel Drive),1462,4,21.56,101.59,138,43.0,1485.0,4490.0,1730.0,4,5,2650.0,2,1,1,1,1,1,1,0.0,Digital,Analog,1,13421,2
Maruti Suzuki,Ciaz,Maruti Suzuki Ciaz,1.5L Alpha Smart Hybrid,Sedan,Petrol,Injection,Manual,FWD (Front Wheel Drive),1462,4,21.56,101.59,138,43.0,1485.0,4490.0,1730.0,4,5,2650.0,2,1,1,1,1,1,1,0.0,Digital,Analog,1,13967,2
Maruti Suzuki,Ciaz,Maruti Suzuki Ciaz,1.5L Delta At Smart Hybrid,Sedan,Petrol,Injection,Automatic,FWD (Front Wheel Drive),1462,4,20.28,101.59,138,43.0,1485.0,4490.0,1730.0,4,5,2650.0,2,1,0,1,1,1,1,0.0,Digital,Analog,1,13729,2
Maruti Suzuki,Ciaz,Maruti Suzuki Ciaz,1.5L Zeta At Smart Hybrid,Sedan,Petrol,Injection,Automatic,FWD (Front Wheel Drive),1462,4,20.28,101.59,138,43.0,1485.0,4490.0,1730.0,4,5,2650.0,2,1,1,1,1,1,1,0.0,Digital,Analog,1,14821,2
Maruti Suzuki,Ciaz,Maruti Suzuki Ciaz,1.5L Alpha At Smart Hybrid,Sedan,Petrol,Injection,Automatic,FWD (Front Wheel Drive),1462,4,20.28,101.59,138,43.0,1485.0,4490.0,1730.0,4,5,2650.0,2,1,1,1,1,1,1,0.0,Digital,Analog,1,15381,2
Maruti Suzuki,Ciaz,Maruti Suzuki Ciaz,1.5L Alpha,Sedan,Diesel,Injection,Manual,FWD (Front Wheel Drive),1498,4,26.82,92.71,225,43.0,1485.0,4490.0,1730.0,4,5,2650.0,2,1,1,1,1,1,1,0.0,Digital,Analog,1,15934,2
Maruti Suzuki,Ciaz,Maruti Suzuki Ciaz,1.5L Delta,Sedan,Diesel,Injection,Manual,FWD (Front Wheel Drive),1498,4,26.32,92.71,225,43.0,1485.0,4490.0,1730.0,4,5,2650.0,2,1,0,1,1,1,1,0.0,Digital,Analog,1,13967,2
Maruti Suzuki,Ciaz,Maruti Suzuki Ciaz,1.5L Zeta,Sedan,Diesel,Injection,Manual,FWD (Front Wheel Drive),1498,4,26.32,92.71,225,43.0,1485.0,4490.0,1730.0,4,5,2650.0,2,1,1,1,1,1,1,0.0,Digital,Analog,1,15528,2
Skoda,Rapid,Skoda Rapid,1.6 Mpi Ambition,Sedan,Petrol,Injection,Manual,FWD (Front Wheel Drive),1598,4,15.41,103.56,153,55.0,1466.0,4413.0,1699.0,4,5,2552.0,2,1,0,1,1,1,1,0.0,Digital,Analog,1,13980,2
Skoda,Rapid,Skoda Rapid,1.5 Tdi Cr Active,Sedan,Diesel,Injection,Manual,FWD (Front Wheel Drive),1498,4,21.13,108.5,250,55.0,1466.0,4413.0,1699.0,4,5,2552.0,2,1,0,1,0,1,1,0.0,Digital,Analog,1,14085,2
Skoda,Rapid,Skoda Rapid,1.6 Mpi Active,Sedan,Petrol,Injection,Manual,FWD (Front Wheel Drive),1598,4,15.41,103.56,153,55.0,1466.0,4413.0,1699.0,4,5,2552.0,2,1,0,1,0,1,1,0.0,Digital,Analog,1,12346,2
Skoda,Rapid,Skoda Rapid,1.5 Tdi Cr Ambition,Sedan,Diesel,Injection,Manual,FWD (Front Wheel Drive),1498,4,21.13,108.5,250,55.0,1466.0,4413.0,1699.0,4,5,2552.0,2,1,0,1,1,1,1,0.0,Digital,Analog,1,15814,2
Skoda,Rapid,Skoda Rapid,1.5 Tdi Cr Ambition At,Sedan,Diesel,Injection,Automatic,FWD (Front Wheel Drive),1498,4,21.72,108.5,250,55.0,1466.0,4413.0,1699.0,4,5,2552.0,2,1,0,1,1,1,1,0.0,Digital,Analog,1,17494,2
Skoda,Rapid,Skoda Rapid,1.6 Mpi Style At,Sedan,Petrol,Injection,Automatic,FWD (Front Wheel Drive),1598,4,14.84,103.56,153,55.0,1466.0,4413.0,1699.0,4,5,2552.0,2,1,0,1,1,1,1,0.0,Digital,Analog,1,17410,2
Skoda,Rapid,Skoda Rapid,1.5 Tdi Cr Style At,Sedan,Diesel,Injection,Automatic,FWD (Front Wheel Drive),1498,4,21.72,108.5,250,55.0,1466.0,4413.0,1699.0,4,5,2552.0,2,1,0,1,1,1,1,0.0,Digital,Analog,1,19594,2
Skoda,Rapid,Skoda Rapid,1.5 Tdi Cr Style,Sedan,Diesel,Injection,Manual,FWD (Front Wheel Drive),1498,4,21.13,108.5,250,55.0,1466.0,4413.0,1699.0,4,5,2552.0,2,1,0,1,1,1,1,0.0,Digital,Analog,1,17830,2
